Gene	Tau	Tissue
AT1G02620	0.929028620584	dark-grown seedling
AT1G02630	0.94734004073	receptacle
AT1G02640	0.48242197573	dark-grown seedling
AT1G02650	0.959572970182	pollen
AT1G02660	0.501944379613	pollen
AT1G02670	0.748594195768	receptacle
AT1G02680	0.27477175622	carpel
AT1G02681	0.966874302424	pollen
AT1G02690	0.449560401406	carpel
AT1G02700	0.874284363836	dark-grown seedling
AT1G02710	0.604185593863	root apical meristem
AT1G02720	0.379899741891	carpel
AT1G02730	0.490069738072	carpel
AT1G02740	0.381193140549	carpel
AT1G02750	0.27220634338	dark-grown seedling
AT1G02770	0.792857256049	pollen
AT1G02780	0.162060340794	root apical meristem
AT1G02790	0.852286463721	pollen
AT1G02800	0.787619046702	carpel
AT1G02810	0.66435535713	root
AT1G02813	0.974347028571	carpel
AT1G02816	0.322340588538	dark-grown seedling
AT1G02820	0.692348355968	stage 12 inflorescence
AT1G02830	0.893405863379	shoot apical meristem
AT1G02840	0.167157715232	dark-grown seedling
AT1G02850	0.551740827178	dark-grown seedling
AT1G02860	0.495765213877	dark-grown seedling
AT1G02870	0.227907388217	carpel
AT1G02880	0.29789696541	root
AT1G02890	0.215799527412	dark-grown seedling
AT1G02900	0.690314130735	root apical meristem
AT1G02910	0.298588711108	shoot apical meristem
AT1G02920	0.545132301234	dark-grown seedling
AT1G02930	0.421137669652	aerial
AT1G02940	0.830984533928	receptacle
AT1G02950	0.489893076018	root
AT1G02952	0.89458254555	root
AT1G02960	0.32358260111	dark-grown seedling
AT1G02970	0.656247147503	carpel
AT1G02980	1.0	root apical meristem
AT1G02990	0.295523378141	receptacle
AT1G03000	0.301705965861	carpel
AT1G03010	0.853402672128	receptacle
AT1G03020	0.734114303769	leaf
AT1G03030	0.237765406909	carpel
AT1G03040	0.262758662284	carpel
AT1G03050	0.89613325041	pollen
AT1G03055	0.557680657673	leaf
AT1G03060	0.199301895276	root
AT1G03070	0.777049117834	pollen
AT1G03080	0.339630986922	receptacle
AT1G03090	0.504658350596	dark-grown seedling
AT1G03100	0.717880014328	carpel
AT1G03106	0.928447754257	dark-grown seedling
AT1G03110	0.354054563106	carpel
AT1G03120	0.729881891856	stage 12 inflorescence
AT1G03130	0.395583474041	shoot apical meristem
AT1G03140	0.167737852073	dark-grown seedling
AT1G03150	0.15959939961	root
AT1G03160	0.305804446515	shoot apical meristem
AT1G03170	0.817908234444	receptacle
AT1G03180	0.424216045227	carpel
AT1G03190	0.380014840529	carpel
AT1G03200	0.451546079042	dark-grown seedling
AT1G03210	0.2530637153	root
AT1G03220	0.47614347082	root apical meristem
AT1G03230	0.488339823209	root apical meristem
AT1G03240	0.991097571691	pollen
AT1G03250	0.184878131434	stage 12 inflorescence
AT1G03260	0.142107326431	carpel
AT1G03270	0.534303014355	carpel
